"Seccion","Concepto","Mes 1 (5k MAU)","Mes 2 (15k MAU)","Mes 3 (40k MAU)","Mes 4 (75k MAU)","Mes 5 (110k MAU)","Mes 6 (150k MAU)"
"STACK A: ENTERPRISE","Supabase Base + DB Compute",25.00,25.00,85.00,85.00,85.00,85.00
"STACK A: ENTERPRISE","Supabase Auth Extra",0.00,0.00,0.00,0.00,32.50,162.50
"STACK A: ENTERPRISE","Supabase Storage + PITR",0.00,0.00,10.00,20.00,25.00,30.88
"STACK A: ENTERPRISE","Supabase Egress (No CDN)",0.00,15.75,49.50,96.75,144.00,198.00
"STACK A: ENTERPRISE","Supabase Realtime (Chat)",0.00,0.00,0.00,2.50,6.00,10.00
"STACK A: ENTERPRISE","Google Maps API",0.00,176.00,904.00,1869.00,2835.00,3940.00
"STACK A: ENTERPRISE","Twilio SMS OTP",500.00,1100.00,2700.00,3800.00,4000.00,4500.00
"STACK A: ENTERPRISE","Resend Email (SMTP)",20.00,20.00,79.50,168.75,258.00,360.00
"STACK A: ENTERPRISE","TOTAL MENSUAL STACK A",545.00,1336.75,3828.00,6042.00,7385.50,9286.38
"","","","","","","",""
"STACK B: OPTIMIZADO","Supabase Base + DB Compute",25.00,25.00,85.00,85.00,85.00,85.00
"STACK B: OPTIMIZADO","Supabase Auth Extra",0.00,0.00,0.00,0.00,32.50,162.50
"STACK B: OPTIMIZADO","Supabase Storage + PITR",0.00,0.00,10.00,20.00,25.00,30.88
"STACK B: OPTIMIZADO","Supabase Egress (Cloudflare CDN)",0.00,0.00,0.00,0.00,0.00,0.00
"STACK B: OPTIMIZADO","Supabase Realtime (Chat)",0.00,0.00,0.00,2.50,6.00,10.00
"STACK B: OPTIMIZADO","LocationIQ API (OSM)",49.00,49.00,150.00,250.00,250.00,250.00
"STACK B: OPTIMIZADO","Twilio SMS OTP (Reemplazado por Email)",0.00,0.00,0.00,0.00,0.00,0.00
"STACK B: OPTIMIZADO","Resend Email (SMTP)",20.00,20.00,79.50,168.75,258.00,360.00
"STACK B: OPTIMIZADO","TOTAL MENSUAL STACK B",94.00,94.00,324.50,526.25,656.50,898.38
